Epoch, South, Bus, temp
1444018508, 140.413152173913, 111.597945205479, 35.8
1444018808, 140.396956521739, 111.588356164384, 34.7
1444019108, 140.403369565217, 111.576849315068, 34.7
1444019408, 140.44152173913, 111.560821917808, 34.7
1444019708, 140.383152173913, 111.554657534247, 34.2
1444020008, 140.478369565217, 111.538767123288, 34.7
1444020308, 140.445760869565, 111.528630136986, 34.2
1444020608, 140.389891304348, 111.533561643836, 34.2
1444020908, 140.442717391304, 111.514520547945, 34.7
1444021208, 140.408804347826, 111.511917808219, 33.6
1444021508, 140.445760869565, 111.504246575342, 34.2
1444021808, 140.36152173913, 111.49095890411, 33.6
1444022108, 140.420434782609, 111.485479452055, 33.6
1444022408, 140.431956521739, 111.481643835616, 33.6
1444022709, 140.461413043478, 111.473698630137, 33.6
1444023008, 140.441956521739, 111.484383561644, 33.6
1444023308, 140.450760869565, 111.46301369863, 33.6
1444023608, 140.344565217391, 111.450410958904, 33.6
1444023908, 140.355217391304, 111.444520547945, 33.6
1444024208, 140.415543478261, 111.434383561644, 33.6
1444024508, 140.371956521739, 111.415890410959, 33.6
1444024808, 140.395869565217, 111.396438356164, 33.6
1444025108, 140.406847826087, 111.38095890411, 33.6
1444025408, 140.419130434783, 111.37602739726, 33.1
1444025708, 140.30347826087, 111.349315068493, 33.1
1444026008, 140.328043478261, 111.328082191781, 32.6
1444026308, 140.37902173913, 111.28698630137, 33.1
1444026608, 140.378913043478, 111.282465753425, 32.6
1444026908, 140.364673913043, 111.26095890411, 33.1
1444027208, 140.358043478261, 111.221780821918, 32.6
1444027508, 140.439782608696, 111.202465753425, 33.1
1444027808, 140.382065217391, 111.195479452055, 32.6
1444028108, 140.421630434783, 111.174794520548, 32.6
1444028408, 140.39652173913, 111.150547945205, 32.0
1444028708, 140.327065217391, 111.114657534247, 32.6
1444029008, 140.404782608696, 111.074383561644, 31.5
1444029308, 140.351413043478, 111.048219178082, 32.6
1444029608, 140.375869565217, 111.030136986301, 31.5
1444029908, 140.395652173913, 111.008493150685, 31.5
1444030208, 140.36597826087, 110.983424657534, 32.0
1444030508, 140.404565217391, 110.982191780822, 31.5
